person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
24,28000,OWN,6.0,HOMEIMPROVEMENT,B,10000,10.37,0,0.36,N,2
27,64000,RENT,0.0,PERSONAL,C,10000,15.27,0,0.16,Y,10
26,72000,MORTGAGE,10.0,EDUCATION,D,16000,11.054300136425647,0,0.22,N,3
23,27996,RENT,7.0,DEBTCONSOLIDATION,A,10000,11.054300136425647,1,0.36,N,2
30,44500,RENT,2.0,MEDICAL,E,13000,16.32,1,0.29,N,6
25,63000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,20000,9.99,0,0.32,N,2
26,27031,RENT,2.0,VENTURE,B,6000,9.99,0,0.22,N,4
30,40000,RENT,8.0,VENTURE,A,2500,5.79,0,0.06,N,10
26,90000,RENT,2.0,DEBTCONSOLIDATION,C,9600,13.85,0,0.11,Y,4
35,41235,OWN,7.0,MEDICAL,A,3000,7.14,0,0.07,N,9
21,26400,RENT,5.0,PERSONAL,C,4750,12.23,0,0.18,N,3
26,59500,MORTGAGE,9.0,VENTURE,A,12000,6.62,0,0.2,N,3
39,134000,MORTGAGE,,VENTURE,B,25000,10.25,0,0.19,N,17
22,60000,MORTGAGE,6.0,VENTURE,D,24250,15.31,0,0.4,Y,2
23,32000,RENT,0.0,MEDICAL,C,8500,13.16,0,0.27,N,4
25,30000,RENT,1.0,EDUCATION,C,5300,15.27,0,0.18,N,3
24,148000,MORTGAGE,8.0,DEBTCONSOLIDATION,D,25000,15.31,1,0.17,Y,2
35,138000,RENT,2.0,PERSONAL,A,14000,7.9,1,0.1,N,8
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4
23,167300,MORTGAGE,1.0,EDUCATION,B,20000,12.21,0,0.12,N,2
34,122400,MORTGAGE,5.0,MEDICAL,B,6800,10.65,0,0.06,N,10
23,120000,MORTGAGE,5.0,MEDICAL,B,6000,9.99,0,0.05,N,3
23,39000,RENT,1.0,EDUCATION,B,15000,12.21,1,0.38,N,4
27,35000,RENT,3.0,MEDICAL,A,6000,7.49,0,0.17,N,10
31,65800,RENT,15.0,DEBTCONSOLIDATION,A,25000,7.51,1,0.38,N,9
32,52256,RENT,13.0,PERSONAL,B,4400,11.054300136425647,0,0.08,N,5
36,408000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,35000,7.9,0,0.09,N,13
25,51850,RENT,2.0,MEDICAL,C,3600,13.99,1,0.06,N,2
37,120000,MORTGAGE,5.0,PERSONAL,A,5400,5.99,0,0.04,N,17
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2
24,55000,MORTGAGE,,HOMEIMPROVEMENT,A,7000,7.14,1,0.13,N,3
24,60140,RENT,2.0,VENTURE,A,7000,8.59,0,0.12,N,3
26,43000,RENT,5.0,MEDICAL,A,7800,7.88,0,0.18,N,2
27,88000,MORTGAGE,4.0,VENTURE,B,14000,12.42,0,0.16,N,10
22,66300,RENT,3.0,MEDICAL,D,7500,14.96,1,0.1,N,2
26,126000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,7500,13.92,0,0.06,N,3
21,17000,RENT,3.0,MEDICAL,A,5750,8.9,1,0.34,N,2
24,63000,MORTGAGE,8.0,PERSONAL,F,20000,19.13,0,0.32,Y,3
26,24000,RENT,0.0,EDUCATION,A,4800,11.054300136425647,0,0.2,N,3
22,33000,OWN,6.0,PERSONAL,B,12000,9.91,0,0.36,N,2
30,100000,RENT,1.0,PERSONAL,B,1000,11.71,0,0.01,N,6
32,65000,OWN,12.0,VENTURE,B,10000,11.99,0,0.15,N,5
32,62217,MORTGAGE,2.0,MEDICAL,C,6000,14.27,0,0.1,Y,6
25,37000,RENT,0.0,DEBTCONSOLIDATION,C,7200,11.34,0,0.19,Y,2
23,40000,RENT,3.0,EDUCATION,B,10000,10.75,0,0.25,N,4
31,80400,RENT,0.0,DEBTCONSOLIDATION,A,12000,7.29,0,0.15,N,10
31,135000,MORTGAGE,12.0,MEDICAL,C,15000,13.85,0,0.11,N,10
22,64000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,6625,6.62,0,0.1,N,2
25,13380,RENT,0.0,PERSONAL,D,2800,14.61,1,0.21,Y,2
34,948000,MORTGAGE,18.0,PERSONAL,B,2000,9.99,0,0.0,N,7
34,103363,MORTGAGE,4.0,DEBTCONSOLIDATION,B,15000,11.054300136425647,0,0.15,N,8
24,42000,RENT,0.0,VENTURE,A,12000,7.66,0,0.29,N,4
33,99000,MORTGAGE,8.0,MEDICAL,B,24000,11.36,0,0.24,N,7
25,29004,RENT,5.0,PERSONAL,C,12000,12.84,1,0.41,Y,4
26,34000,RENT,1.0,VENTURE,C,5500,13.11,0,0.16,N,3
23,65000,MORTGAGE,7.0,PERSONAL,A,5000,7.43,0,0.08,N,4
22,69600,RENT,6.0,PERSONAL,A,12000,7.29,0,0.17,N,4
31,40000,RENT,5.0,MEDICAL,C,2500,13.23,0,0.06,Y,5
